distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
60.0,23,11,0,0,2,0.998707453683757,0.10012942191544436,0.9995691512279189,0.10004314063848145
60.0,23,11,0,0,4,0.9946549534292972,0.10053737696195797,0.9972160906654207,0.10027948012733356
60.0,23,11,0,0,6,0.988408301384164,0.10117276419062882,0.9948839604007385,0.10051595016495075
60.0,23,11,0,2,2,0.9995647916439996,0.10004353978447807,0.9997461402956066,0.10002539583848692
60.0,23,11,0,2,4,0.998532050236503,0.1001470107807906,0.9992752544352465,0.10007254516661997
60.0,23,11,0,2,6,0.9950254107397348,0.100499945951789,0.9973626460275168,0.10026461539398117
70.0,23,4,0,0,4,0.9856089856089856,0.10146011396011397,0.9920774206488492,0.10080116103298346
70.0,23,4,0,0,6,0.9597078308136572,0.10419837870367094,0.981979205182856,0.10185278097478653
70.0,23,4,0,2,4,0.9892910319551025,0.10108248914616498,0.9944123566274523,0.10056322541017947
70.0,23,4,0,2,6,0.9659090909090909,0.10352941176470588,0.9825172484350809,0.10179303586049954
70.0,23,11,0,0,4,0.9914285714285714,0.10086455331412104,0.9963893022030136,0.10036306201116034
70.0,23,11,0,0,6,0.9850935074703409,0.10151320584458405,0.9936601537844387,0.10064060712490493
70.0,23,11,0,2,4,0.9982059367184951,0.10017972877294266,0.9991224947614248,0.10008785711038036
70.0,23,11,0,2,6,0.994125159642401,0.10059095580678315,0.9969579602293773,0.10030540794558142
80.0,23,4,0,0,2,0.9929451832630555,0.100710494079216,0.9949521569899449,0.10050821716172001
80.0,23,4,0,0,4,0.979027729027729,0.10214215290848795,0.9904462091962092,0.10096878501742153
80.0,23,4,0,0,6,0.9555392111795532,0.10465295283545327,0.979041428071378,0.10216391118152729
80.0,23,4,0,2,2,0.9982285208148804,0.10017746228926354,0.9993633746678476,0.10006375001772458
80.0,23,4,0,2,4,0.9880311533615852,0.10121138352750246,0.9936147062192189,0.10064424517484484
80.0,23,4,0,2,6,0.9585830907118799,0.10432063841824733,0.9798578975769475,0.10207388058913819
80.0,23,11,0,0,2,0.996984058595433,0.10030250648228177,0.9989228780697975,0.10010798209943153
80.0,23,11,0,0,4,0.990582508861965,0.10095070234470972,0.9956634530353825,0.10043651705285403
80.0,23,11,0,0,6,0.9789795351421428,0.10214718123344685,0.9920289739352948,0.10080800424807625
80.0,23,11,0,2,2,0.9991293938404614,0.1000871364775079,0.9995919536818202,0.10004083099824217
80.0,23,11,0,2,4,0.9979885838543082,0.10020154700947817,0.9989807558980353,0.10010206834776758
