distance_bin,P_t_dB,MCS,numerology,protocol_type,beta,PDR,PIR,cumulative_PDR,cumulative_PIR
175,23,11,0,SPC6G,0.1,0.9910287194224452,0.10090524930324755,0.996342628460671,0.10036787301414485
175,23,11,0,SPC6G,0.15,0.97651958553471,0.1024045001055901,0.9904727590869705,0.1009673867077484
200,23,4,0,NRV2X,0.05,0.9719175199104547,0.10288938922431737,0.9863685898569666,0.10138955280850176
200,23,4,0,NRV2X,0.1,0.9317796510000059,0.1073215109309136,0.9665661408974575,0.10350917080816156
200,23,4,0,NRV2X,0.15,0.85933986838226,0.11636839355336069,0.9303651834271442,0.10772508817047226
200,23,4,0,SPC6G,0.05,0.9929489323411036,0.100710113826526,0.9965891774518079,0.1003427121838758
200,23,4,0,SPC6G,0.1,0.9697234174399645,0.10312218742123035,0.9852538837754632,0.10150599231894569
200,23,4,0,SPC6G,0.15,0.916469582540957,0.10911436877451523,0.9590569629540538,0.10434626578820848
200,23,11,0,NRV2X,0.05,0.9769820843624688,0.10235602228597176,0.9915690985191026,0.10085537153286651
200,23,11,0,NRV2X,0.1,0.9507715109193444,0.10517774128855148,0.9815502071640877,0.10190410434981653
200,23,11,0,NRV2X,0.15,0.91053975255135,0.10982496889322851,0.9660832983542006,0.10359683476315223
200,23,11,0,SPC6G,0.05,0.996908582504054,0.1003101003993948,0.9988718860872553,0.1001130285250031
200,23,11,0,SPC6G,0.1,0.9875466725222624,0.10126103685266145,0.9953653000230701,0.10046711344064668
200,23,11,0,SPC6G,0.15,0.967895013696875,0.10331699056703475,0.9879641207102932,0.10122845380322465
225,23,4,0,NRV2X,0.05,0.9661173573871903,0.1035070938694698,0.9843434666099891,0.10160130691459857
225,23,4,0,NRV2X,0.1,0.9184387724777874,0.10888042077123712,0.9617534040554905,0.10404629580446911
225,23,4,0,NRV2X,0.15,0.8335725933182244,0.11996555645133121,0.9206859244162523,0.10894913499855814
225,23,4,0,SPC6G,0.05,0.991474088754614,0.10085992274957942,0.9960776685820886,0.10039443324044617
225,23,4,0,SPC6G,0.1,0.9636594883139823,0.10377109467884751,0.9830944442293152,0.10173250255493589
225,23,4,0,SPC6G,0.15,0.9005595221763918,0.11104207721698277,0.9532072188762877,0.1050158469310859
225,23,11,0,NRV2X,0.05,0.9690457745772763,0.10319429961254688,0.9893167661249199,0.10108926434083454
225,23,11,0,NRV2X,0.1,0.9343841150202045,0.10702236734604341,0.9768335979496994,0.10241593064943921
225,23,11,0,NRV2X,0.15,0.8829727098423161,0.11325378336761767,0.9577722395030122,0.10456252962359877
225,23,11,0,SPC6G,0.05,0.9958284150299014,0.1004189059989791,0.99856753898152,0.10014361627240072
225,23,11,0,SPC6G,0.1,0.9832949932045979,0.10169888048966463,0.994158269341223,0.10059029014554847
225,23,11,0,SPC6G,0.15,0.9575923590690708,0.10442856926846786,0.984926944546171,0.10154846534974897
250,23,4,0,NRV2X,0.05,0.9585617116793941,0.10432296510654555,0.9819996707072076,0.10184873038659376
250,23,4,0,NRV2X,0.1,0.8977654068927797,0.11138767347486249,0.9559363134043349,0.10471369377450487
250,23,4,0,NRV2X,0.15,0.797220700427371,0.12543577951048235,0.9094618131445358,0.11044792086327852
250,23,4,0,SPC6G,0.05,0.9895433687759907,0.10105671277823261,0.9954836413269887,0.10045464047115403
250,23,4,0,SPC6G,0.1,0.9541660505325923,0.10480356112458879,0.9804645902568858,0.10201168969763161
250,23,4,0,SPC6G,0.15,0.8777593625447703,0.11392644073893257,0.9463483228461498,0.10582590091361742
250,23,11,0,NRV2X,0.05,0.9601697086129027,0.10414825535838218,0.9866670336238275,0.10136735443333887
250,23,11,0,NRV2X,0.1,0.9163451846274092,0.1091291815328964,0.9713346512840367,0.10302622618429895
250,23,11,0,NRV2X,0.15,0.8515868969908416,0.11742782839115884,0.9481190265473604,0.1057321022388315
250,23,11,0,SPC6G,0.05,0.9946113112707042,0.10054178840198502,0.9982078819169004,0.10017981373872656
250,23,11,0,SPC6G,0.1,0.9785498196872385,0.10219203763377294,0.9927393193726789,0.10073590355356889
250,23,11,0,SPC6G,0.15,0.9456046359392487,0.10575244261643468,0.9813521892182689,0.10193064510126586
275,23,4,0,NRV2X,0.05,0.9487709700537877,0.10539951490540525,0.9792306123194227,0.1021446290964947
275,23,4,0,NRV2X,0.1,0.8751557529799184,0.11426537465988026,0.9492046000356336,0.10550966718161948
275,23,4,0,NRV2X,0.15,0.7567504214114203,0.1321439634133131,0.8967358638334427,0.11225592440911474
275,23,4,0,SPC6G,0.05,0.987025224733897,0.10131453330076758,0.9947787732775644,0.10052629820695518
275,23,4,0,SPC6G,0.1,0.9436440823819844,0.10597215821835705,0.9773962146006441,0.10234172874102539
275,23,4,0,SPC6G,0.15,0.851856710286734,0.11739063482441796,0.9384740217995318,0.10678962873951747
275,23,11,0,NRV2X,0.05,0.9505921180260749,0.1051975901164131,0.983660790657348,0.10168654074026172
275,23,11,0,NRV2X,0.1,0.8972167971328975,0.11145578228088814,0.9651581634381085,0.10372868919234805
275,23,11,0,NRV2X,0.15,0.8209583312828642,0.1218088618989173,0.9375223019419856,0.10707183221050531
275,23,11,0,SPC6G,0.05,0.9932870771654844,0.10067582907186029,0.9977978148542824,0.10022114834982104
275,23,11,0,SPC6G,0.1,0.9734408795048946,0.10272837529780071,0.9911311160503634,0.10090194286558822
275,23,11,0,SPC6G,0.15,0.9336254082824534,0.10710933862004171,0.9773749574736178,0.10236220289449717
300,23,4,0,NRV2X,0.05,0.9369870036597869,0.10672506620626433,0.9759811039609892,0.10249697041263084
300,23,4,0,NRV2X,0.1,0.8487755361690048,0.11781677927636265,0.9414792874305082,0.10645636811198435
300,23,4,0,NRV2X,0.15,0.7059951125690727,0.14164404005022949,0.882063498351568,0.11451654868920048
300,23,4,0,SPC6G,0.05,0.983969372683148,0.10162917950109959,0.9939472809241477,0.10061113522958166
300,23,4,0,SPC6G,0.1,0.9311747084903332,0.10739123291065861,0.9738407141306202,0.10273015213868948
300,23,4,0,SPC6G,0.15,0.818531962239462,0.12216993912663479,0.9292477095256803,0.1079727295385265
300,23,11,0,NRV2X,0.05,0.9405158650570836,0.10632462855257695,0.9803419502265585,0.10204331672582442
300,23,11,0,NRV2X,0.1,0.8774632631122505,0.11396488514551906,0.9584124018745809,0.10451608888105351
300,23,11,0,NRV2X,0.15,0.7900465449661798,0.1265748209863772,0.9261780129438466,0.10857206211634161
300,23,11,0,SPC6G,0.05,0.9918813756845032,0.10081850758714914,0.9973427041489148,0.10026709906038474
300,23,11,0,SPC6G,0.1,0.9680783451598663,0.10329742473837303,0.9893578259818637,0.10108621070195628
300,23,11,0,SPC6G,0.15,0.9212362573361025,0.10854978753133915,0.9730565959245782,0.102838170943485
325,23,4,0,NRV2X,0.05,0.917872952245828,0.10894753980419901,0.9718305216956206,0.10295772536917143
325,23,4,0,NRV2X,0.1,0.8134523263008753,0.12293283425071005,0.9323345044926773,0.10763325855046477
