distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
60.0,23,11,0,0,4,0.9872008319697743,0.10129651106600948,0.9931139591436887,0.10069505495556251
60.0,23,11,0,2,4,0.9968076180262838,0.10032026059151085,0.9984983638056695,0.10015048844253006
70.0,23,4,0,0,4,0.9771230207817911,0.10234125885192073,0.9883077644516127,0.10118855409736692
70.0,23,4,0,2,4,0.9839855870283255,0.10162750483165497,0.9920465957552366,0.10080436534748992
70.0,23,11,0,0,4,0.98268404961329,0.10176210760656228,0.9918102204523889,0.10082843653693747
70.0,23,11,0,2,4,0.9964246358276425,0.10035881932700187,0.998239147808416,0.10017652980308904
80.0,23,4,0,0,4,0.9723209266843331,0.10284670138799276,0.9865314491441372,0.10137279268521422
80.0,23,4,0,2,4,0.98203866341455,0.10182898466777249,0.990934603272938,0.10091821193863243
80.0,23,11,0,0,4,0.9797608003409974,0.10206572866070561,0.9904713959955677,0.10096591343957838
80.0,23,11,0,2,4,0.9958851170577283,0.1004131885166061,0.9979775888361174,0.10020282521570205
90.0,23,4,0,0,4,0.968299164768413,0.1032738678690453,0.9847082207065648,0.10156290020359733
90.0,23,4,0,2,4,0.9795255746359949,0.1020902389783558,0.9897937004092437,0.10103541464260477
90.0,23,11,0,0,4,0.9768754149148041,0.10236719900328464,0.9891117978874913,0.10110604199594901
90.0,23,11,0,2,4,0.9950001370576464,0.10050249871895886,0.9976798436582703,0.10023279256602773
100.0,23,4,0,0,4,0.9655202295002714,0.10357110803546546,0.982963857869629,0.10174546455194898
100.0,23,4,0,2,4,0.9774917043137569,0.10230265848670757,0.988675337127836,0.10115061862843229
100.0,23,11,0,0,4,0.9747245034682028,0.10259309132394472,0.9878038620311923,0.10124122829849407
100.0,23,11,0,2,4,0.9945324095808497,0.10054976493138668,0.9973937132875957,0.10026160823560581
110.0,23,4,0,0,4,0.9609922467482948,0.1040591121711643,0.9811328902761844,0.10193826852021692
110.0,23,4,0,2,4,0.9750245736384052,0.1025615176311297,0.9875377735037166,0.10126819354532374
110.0,23,11,0,0,4,0.9705630748903156,0.10303297393763008,0.9863671297694525,0.10139054043508873
110.0,23,11,0,2,4,0.9941191240798742,0.10059156652132298,0.9971208308536189,0.10028910475941559
120.0,23,4,0,0,4,0.9537801673976125,0.10484596285205827,0.9790288346701405,0.10216193731497396
120.0,23,4,0,2,4,0.9719983403808297,0.10288083409774129,0.9863424324942638,0.10139224281858664
120.0,23,11,0,0,4,0.9665329338276369,0.10346258932324508,0.9848414223893129,0.10154992881110075
120.0,23,11,0,2,4,0.9934954108564816,0.10065471758323583,0.9968419523923007,0.10031722882278636
130.0,23,4,0,0,4,0.9500019866102469,0.10526293777217811,0.9769554883801481,0.1023834373476314
130.0,23,4,0,2,4,0.9712247802135443,0.10296277652431077,0.9852626001884982,0.10150442379756693
130.0,23,11,0,0,4,0.9616029943211152,0.10399302060264412,0.983181534670156,0.10172443536763957
130.0,23,11,0,2,4,0.9929731990272966,0.10070765263146948,0.996565612866229,0.1003451162376923
140.0,23,4,0,0,4,0.9446147812756248,0.10586325979883376,0.9747994412398466,0.1026154255110449
140.0,23,4,0,2,4,0.9678024020919953,0.10332687724667831,0.9840985869820645,0.10162592069417435
140.0,23,11,0,0,4,0.9577107226366774,0.10441566293075386,0.9814834805345907,0.10190385053851386
140.0,23,11,0,2,4,0.9921864138141979,0.10078751191076733,0.9962736662627603,0.10037460928256398
150.0,23,4,0,0,4,0.9402196772713368,0.10635812291252561,0.9726382059918147,0.10284934409863743
150.0,23,4,0,2,4,0.9650083080832763,0.10362605084574092,0.9829054445508904,0.10175092882864725
150.0,23,11,0,0,4,0.9523652522935779,0.10500173096316813,0.9796635912695274,0.10209746806505475
150.0,23,11,0,2,4,0.9909543642707329,0.10091282061570253,0.9959412098882585,0.10040824749088513
160.0,23,4,0,0,4,0.9373492411492381,0.1066838224324958,0.9705623845304866,0.10307490164768793
160.0,23,4,0,2,4,0.9628926986337133,0.10385373172098405,0.9817282242028211,0.10187462311643178
160.0,23,11,0,0,4,0.9487645566586101,0.10540022737799487,0.977846000998297,0.10229174802463946
160.0,23,11,0,2,4,0.9905957740700929,0.10094935049957539,0.99562677248719,0.10044007707963162
170.0,23,4,0,0,4,0.9297901918006105,0.10755114528186438,0.9682972627121601,0.10332358184958662
170.0,23,4,0,2,4,0.9600983375033781,0.10415599745755018,0.98052656383063,0.1020013661353828
170.0,23,11,0,0,4,0.9447167890570177,0.10585182899079883,0.9760054892237814,0.10248953030053722
170.0,23,11,0,2,4,0.9895411796767741,0.10105693633959147,0.9952886839977224,0.10047434703851828
180.0,23,4,0,0,4,0.9219368114810806,0.10846730356644636,0.965857238963156,0.1035943040452108
180.0,23,4,0,2,4,0.9573955714415533,0.10445003401199121,0.9793091431785732,0.10213024339204639
180.0,23,11,0,0,4,0.9361300527707993,0.10682276431999546,0.9739067820420455,0.10271759524892975
180.0,23,11,0,2,4,0.9873420056349979,0.10128202733123477,0.9948704377681054,0.10051685652760863
190.0,23,4,0,0,4,0.9189978875880994,0.10881417830290012,0.9635142713944032,0.10385529775809528
190.0,23,4,0,2,4,0.9561553006215078,0.10458552071509648,0.9781514510507199,0.1022530072581989
190.0,23,11,0,0,4,0.92796087980992,0.10776316348646467,0.9716094869304392,0.1029698736608065
190.0,23,11,0,2,4,0.983215103327208,0.10170714390126757,0.9942876710460604,0.10057637089629157
200.0,23,4,0,0,4,0.9144110611519717,0.10936000694700737,0.9611760232876208,0.1041174267670911
200.0,23,4,0,2,4,0.9557502776538902,0.10462984143250588,0.9770847285080138,0.1023661898379278
200.0,23,11,0,0,4,0.919276839520869,0.10878115895111687,0.9691174561014121,0.10324660153177365
200.0,23,11,0,2,4,0.9804676413064233,0.10199214720309902,0.9936295743917921,0.10064378881566335
210.0,23,4,0,0,4,0.907181003663327,0.11023158509292597,0.9587217042137891,0.10439534305462904
210.0,23,4,0,2,4,0.9520984814016774,0.10503115166487842,0.9759489900031803,0.10248732446642556
210.0,23,11,0,0,4,0.9118929138177615,0.1096619992158253,0.9665163405430643,0.10353821051741235
210.0,23,11,0,2,4,0.9759213734150746,0.10246727115942408,0.9928246561655776,0.10072667437674339
220.0,23,4,0,0,4,0.8979458001588679,0.11136529619305266,0.9560792736027056,0.10469838449543006
220.0,23,4,0,2,4,0.9474675350151045,0.10554451345755694,0.9747106658732639,0.10262024572690953
220.0,23,11,0,0,4,0.9026455954435941,0.11078545168201505,0.9637393516256961,0.10385330795935162
220.0,23,11,0,2,4,0.9705782059717692,0.10303136767827718,0.9918574192006294,0.10082687843333182
230.0,23,4,0,0,4,0.8954072895049665,0.11168102066187763,0.9535512742652998,0.10498932766903206
230.0,23,4,0,2,4,0.9446580367535536,0.10585841236651483,0.973458472993276,0.10275516933689309
230.0,23,11,0,0,4,0.891802289020249,0.11213247737888395,0.9607419740171358,0.10419827335183213
230.0,23,11,0,2,4,0.9678038825807127,0.10332671918337775,0.9908551885081329,0.10093103846458373
240.0,23,4,0,0,4,0.8913301546189467,0.11219187355189512,0.9510624294794457,0.10527742950434657
240.0,23,4,0,2,4,0.9442069278682625,0.10590898779547209,0.9722884111882755,0.10288132207523625
240.0,23,11,0,0,4,0.8858560794044665,0.11288515406162465,0.9577465382326291,0.10454574858022384
240.0,23,11,0,2,4,0.9641019095272133,0.10372347467814796,0.9897850573488961,0.1010427359131263
250.0,23,4,0,0,4,0.8813096661635269,0.11346749484243716,0.9483796308903719,0.10559243201735005
250.0,23,4,0,2,4,0.9393258618195434,0.10645932797622823,0.9710206208279396,0.10301893768681286
250.0,23,11,0,0,4,0.8781511576080834,0.11387561142933635,0.9546851774393772,0.10490458945903584
250.0,23,11,0,2,4,0.95839446550108,0.10434117015452164,0.9885777268932109,0.10116959876856457
260.0,23,4,0,0,4,0.8744244962443267,0.11436093159501169,0.9456405518294072,0.10591719126096716
260.0,23,4,0,2,4,0.9359569377990431,0.1068425223014595,0.9697219659009434,0.10316055193179977
260.0,23,11,0,0,4,0.8676353856354416,0.11525578792151461,0.9514611110762685,0.1052879671798684
260.0,23,11,0,2,4,0.9536130536130536,0.10486433634808116,0.9872827389939458,0.10130644090113927
270.0,23,4,0,0,4,0.8667440388267567,0.11537431527693245,0.9428228192221698,0.10625494569010877
270.0,23,4,0,2,4,0.9312253461645595,0.10738539324758534,0.968347086624644,0.10331143912164927
270.0,23,11,0,0,4,0.8602019350012301,0.11625177290476219,0.9482018547878743,0.10567953167004317
270.0,23,11,0,2,4,0.9479220032411522,0.10549391158563488,0.985876998431346,0.10145599342558553
280.0,23,4,0,0,4,0.8653888788116976,0.11555498625925754,0.9401526833459466,0.10657563674421736
280.0,23,4,0,2,4,0.9298207429720624,0.10754761146795004,0.9670185920159342,0.10345751403014239
