distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
210.0,23,11,0,2,4,0.8774192657637134,0.11397059980550932,0.961507130369176,0.10414448943243487
220.0,23,4,0,0,4,0.6146145092808986,0.1627036109463156,0.829908729486725,0.12324077094887345
220.0,23,4,0,2,4,0.816593578273018,0.12245993926560886,0.9239128725428513,0.10863062227236478
220.0,23,11,0,0,4,0.5981685994582148,0.16717694658424734,0.8396598435888307,0.12204314267974783
220.0,23,11,0,2,4,0.856996529224681,0.11668658692290078,0.9569631911889805,0.10468979801897689
230.0,23,4,0,0,4,0.5908094690319066,0.16925930480406623,0.8199462603011076,0.1251582098595065
230.0,23,4,0,2,4,0.8068910916173164,0.12393246255769412,0.9190369650042873,0.10926819895092017
230.0,23,11,0,0,4,0.5675459787086748,0.17619717829298667,0.8283217658854908,0.12429956083029943
230.0,23,11,0,2,4,0.833717167516966,0.11994475332423213,0.9518279402026466,0.10532542115669585
240.0,23,4,0,0,4,0.5736735354774931,0.17431517024184445,0.810095351308163,0.12712448827480002
240.0,23,4,0,2,4,0.7924144322607973,0.12619659098673291,0.9139720636945478,0.10994533463235268
240.0,23,11,0,0,4,0.5433035627420076,0.18405916481627393,0.8169210377597514,0.1266899449897384
240.0,23,11,0,2,4,0.8101226862507895,0.12343809363344137,0.9461597300445723,0.10604992805576567
250.0,23,4,0,0,4,0.5372365145833993,0.1861377573665951,0.7996007806649028,0.1293942293937152
250.0,23,4,0,2,4,0.7697459148313938,0.12991299865736106,0.908424904122888,0.11071332171023762
250.0,23,11,0,0,4,0.5118197733793707,0.19538127520891632,0.8051863737451215,0.12933191922893755
250.0,23,11,0,2,4,0.7832580980667575,0.12767183671234378,0.9398942826608103,0.10688153992717252
260.0,23,4,0,0,4,0.5197546529254224,0.19239847000340105,0.7892361092671444,0.13172771978666653
260.0,23,4,0,2,4,0.762546012075596,0.13113962753251718,0.9030219821952105,0.11146985155550723
260.0,23,11,0,0,4,0.4916378009133834,0.2034017722278804,0.7935734636402423,0.13207524711778731
260.0,23,11,0,2,4,0.7576256180230728,0.13199131288740898,0.9331435913779311,0.10781153151829238
270.0,23,4,0,0,4,0.49872183391172586,0.20051257675175313,0.7788605994330222,0.1341843218211339
270.0,23,4,0,2,4,0.7440055559822824,0.13440759843247918,0.8973428241161773,0.11228905680111337
270.0,23,11,0,0,4,0.47279391999218007,0.21150864207740655,0.7821170513670971,0.13491215408063084
270.0,23,11,0,2,4,0.7322675012637262,0.13656211675026256,0.9259694453024238,0.10883833813371989
280.0,23,4,0,0,4,0.48056799129261,0.20808710070561406,0.7685746474281804,0.13673269350680564
280.0,23,4,0,2,4,0.7321407377124847,0.13658576124645383,0.8916462004470844,0.1131268741957803
